"text","true_label","predicted_label","true_label_id","predicted_label_id","predicted_prob","true_prob","dist_score","token_count","max_dep_depth","clause_count","struct_score","edge_score"
"a woman in a green sweater and striped shirt leans out of a window and holds a camera in front of her face, directing it at the photographer. a woman in green sweater and striped shirt is holding a mask to her face while leaning out a window","contradiction","neutral","2","1","0.8373491168022156","0.10253945738077164","0.8358976244926453","48","48","1","0.8299929676511955","0.9846295128175138"
"a man in a red shirt grabbing a top hat while standing on a rope with 6 other people looking on. the 6 men are all crossing the rope at the same time","contradiction","neutral","2","1","0.7053996920585632","0.15126097202301025","0.8485825061798096","33","33","1","0.7897398030942334","0.9759388513879754"
"people in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race. the runners waited to start the race","entailment","neutral","0","1","0.8722975254058838","0.04605325683951378","0.8076584935188293","27","27","1","0.7168706047819972","0.9582320923936611"
"a female baseball player wearing a blue shirt slides into base, while another player in a white shirt wearing a catcher ' s mitt jumps. the woman basedball catcher dressed in white is jumping to avoid the woman player with the blue shirt on who is sliding into the base.","entailment","neutral","0","1","0.6069782972335815","0.1740008145570755","0.7768096327781677","50","50","1","0.8310337552742616","0.9579777011225615"
"3 cowboys at the rodeo, one happens to have excellent pose timing. a crowd of people watch a horse race at the rodeo.","contradiction","neutral","2","1","0.8539227247238159","0.05478886887431145","0.8619786500930786","23","23","1","0.6214697609001406","0.9564014783199717"
"a cowboy is desperately grasping too the reigns off a horse that is trying to buck him off at a rodeo. a man is attempting to win a ridding content in a rode.","entailment","neutral","0","1","0.9173438549041748","0.03316692262887955","0.7545462250709534","33","33","1","0.7897398030942334","0.956374443558813"
"a boy in blue swim trunks carries a blue bucket down a crowded beach. a boy is bodysurfing in the waves at the beach","contradiction","neutral","2","1","0.662276029586792","0.125697061419487","0.8470326662063599","24","24","1","0.6496694796061885","0.9499640965925222"
"a person laying on the grass, in the shade, underneath a tree. a person is laying out in the sun.","contradiction","neutral","2","1","0.6130537390708923","0.019915131852030754","0.8682901859283447","20","20","1","0.5190365682137834","0.9415079639595625"
"there is blue truck stopped in front of a shop on masonic street. the blue truck is waiting at a red light on masonic street.","entailment","neutral","0","1","0.7752960324287415","0.06854329258203506","0.7763039469718933","25","25","1","0.674985935302391","0.9371451747442692"
"a small asian boy is walking down the street in tradition asian clothing looking back at a lady dressed in high heels and a beige skirt. asian boy with asian outfit walking on the road and looking back at lady.","entailment","neutral","0","1","0.6116151809692383","0.2974837124347687","0.739081084728241","40","40","1","0.8205696202531646","0.9309490129316318"
"a tan, dark - haired man leaps into the air for a spike during a volleyball game. a man spiking a volley ball","entailment","neutral","0","1","0.8813812732696533","0.04485126584768295","0.7732763886451721","23","23","1","0.6214697609001406","0.9278010425315073"
"a female singer croons into a microphone close to her mouth. a lady is serving drinks to the crowd.","contradiction","neutral","2","1","0.8472887873649597","0.0891076996922493","0.8673673272132874","19","19","1","0.47838959212376936","0.9261514138123044"
"man in jeans and white t - shirt, holding a microphone and being passed from person to person at concert. a man is holding a microphone while getting passed around at a concert.","entailment","neutral","0","1","0.8630432486534119","0.12837080657482147","0.6899181604385376","33","33","1","0.7897398030942334","0.9252918583667332"
"a man with a striped shirt, blue jeans and a red kerchief in his pocket is being thrown off a brown irate horse while a brown and tan horse is buckling while the crowd is watching the man is riding the brown horse with ease.","contradiction","neutral","2","1","0.6734318733215332","0.18543480336666107","0.6718679070472717","45","45","1","0.8277426160337553","0.921163821506969"
"three white men singing and performing on stage at a concert. the men talk to each other on stage.","contradiction","neutral","2","1","0.765418291091919","0.11543218046426773","0.8556067943572998","19","19","1","0.47838959212376936","0.9195952380894364"
"at a beachfront cafe, where the leaves of palm trees are blown by a gentle breeze, tourists dine under turquoise and white shade umbrellas which match the colors of the sky and the sea beyond them, while in the distance, beachgoers relax beneath blue cabanas and umbrellas on the sand. beach scene with dinners at a shaded cafe and in cabanas","entailment","neutral","0","1","0.8196138739585876","0.13659097254276276","0.6443793773651123","61","61","1","0.8329887482419128","0.9179262901334344"
"a man and a woman are at a beach with other people nearby, and the woman is touching the man ' s face. the woman is touching the mans face on a beach.","entailment","neutral","0","1","0.908172607421875","0.03852120414376259","0.6373778581619263","33","33","1","0.7897398030942334","0.9167475247352483"
"a crowd gathers around a lady with an acoustic guitar who is performing a man is playing his drums for a crowd","contradiction","neutral","2","1","0.5745112895965576","0.3975910544395447","0.8621467351913452","22","22","1","0.5906680731364276","0.916017001314856"
"eight young people are sitting in a rough circle in the grass at the bottom of a slight incline with three trees in the background. eight young people are having a cooking contest","contradiction","neutral","2","1","0.95305997133255","0.041917938739061356","0.6349862813949585","33","33","1","0.7897398030942334","0.9156099371002135"
"a man is sitting in a running bathtub. a man sitting in a running hottube inside his bathroom.","entailment","neutral","0","1","0.6967992186546326","0.07887685298919678","0.8522419929504395","18","18","1","0.4355485232067511","0.9135599408877639"
