text,true_label,predicted_label,true_label_id,predicted_label_id
"a woman standing by a car in a garage dressed for winter weather in a red knit scarf, black gloves and hat and red handbag. a woman stands by a car in winter",neutral,entailment,1,0
a guy numbered 853 is riding a bucking horse at the rodeo. a guy is riding,neutral,entailment,1,0
a rugby player attempts to break free of an opposing player with both teams closing in. the players are wearing tutus.,contradiction,neutral,2,1
senior citizens lending a hand to one another. the people are young,contradiction,neutral,2,1
a runner is sliding into home while the cathcer covers the plate in a softball game. a runner is thrown out at first.,contradiction,neutral,2,1
a girl in a gray shirt is sweeping dust out the front door. the girl in gray shirt is at the party,contradiction,neutral,2,1
man serving beer from tap as woman stands by. the man drank the beer,contradiction,neutral,2,1
a man is staring at his computer with his feet on the desk a man relaxing by his computer.,entailment,contradiction,0,2
a group of friends posing by a guard rail. 10 humans posing,neutral,contradiction,1,2
a crowd behind a fence is watching bicyclists ride up a hilly road with motorcycles behind them. a crowd behind a fence watches bicyclists ride up a hill with motorcycles riding behind them,entailment,contradiction,0,2
a man in a white shirt playing a black and white guitar. a man is playing an accoustic guitar.,neutral,entailment,1,0
a man about to throw a toy for a dog to go and fetch. the dog catch the toy,neutral,entailment,1,0
a dog leaping over a chain. a dog hops a fence.,neutral,contradiction,1,2
two children eating food. some children ' s are eating,neutral,entailment,1,0
woman talks on her phone while picking up burritos. a woman talking phone.,neutral,entailment,1,0
"two men in beige coats, talking. the two men are outside wearing coats.",neutral,entailment,1,0
a woman is walking at dusk down an urban street. the street is empty,neutral,contradiction,1,2
a man in a green and white striped shirt carries a large basket on his shoulder. a man is walking around wearing a strange shirt.,entailment,contradiction,0,2
a girl is performing a wheelie on her bicycle in front of a gray cinder block building. a girl is practicing on a bicycle.,neutral,entailment,1,0
a middle - aged couple smiles from a round outdoor wooden jacuzzi. a couple is smiling while sitting in the jacuzzi.,entailment,neutral,0,1
two humans climb a building while a crowd of onlookers cheer them on the men are racing up the building,neutral,contradiction,1,2
a man in a gray sleeveless shirt and straw hat is on stage singing and playing guitar. a singer is showing how well they can perform.,entailment,neutral,0,1
a crowd watching air balloons at night. the balloons glow in the night sky.,entailment,neutral,0,1
a wedding party laughs during the reception. a couple were married recently.,entailment,neutral,0,1
three women and a man around a table as if having a meeting. some people around a table.,neutral,entailment,1,0
"four men, three of whom are wearing prayer caps, are sitting on a blue and olive green patterned mat. people are praying on a mat.",neutral,entailment,1,0
a man in a straw hat is walking in a cornfield. a man in a cowboy hat is walking in a cornfield.,contradiction,neutral,2,1
a crowd walks by a hat shop at an outdoor fair. the people also walk by a food stand.,neutral,contradiction,1,2
a dog is about to catch a treat in his mouth. the dog catches the doggy biscuit.,neutral,contradiction,1,2
two men sweeping in a large building with decorated walls and pillars. they sweep near decorated walls.,neutral,entailment,1,0
a man admires his entertainment cabinet and spread of food. the man is at the supermarket.,contradiction,neutral,2,1
two teenagers holding up a mike huckabee sign on a grassy medium on a six lane road. two people standing in the grass.,neutral,contradiction,1,2
a guy wearing a gray shirt and an orange jumpsuit working on the railroad. a prisoner is trying to escape,neutral,contradiction,1,2
these are very well groomed animals. the tibetan mastiff has a spectacular coat of fur.,contradiction,neutral,2,1
a guy wearing a black attire is doing ballet in front of the pier where you can see a cruise ship. a man is performing at an outdoors concert.,neutral,contradiction,1,2
"a child in a blue shirt, with a hat, trying to climb a fence. this kid is climbing to get to his tree house.",contradiction,neutral,2,1
a young bow and girl play with a train set and tracks on a living room floor. a young boy and girl play with a train set and tracks on a floor.,entailment,contradiction,0,2
aaron rodgers and another green bay packers teammate are celebrating a touchdown in an end zone. the packers just scored six points,entailment,neutral,0,1
three children on a swing set. three children outside playing,neutral,entailment,1,0
two men speak in a club with green curtains. they are dancing,neutral,contradiction,1,2
a little girl with bright pink pants playfully sticks her face in a contraption on a playground. the little girl is playing dodgeball with her friends.,contradiction,neutral,2,1
a person in a blue shirt is serving a meal. people are cooking.,contradiction,entailment,2,0
"a woman wearing a sparkly blue costume, leaps into the air while swirling a green ribbon in her left hand. the woman is a police officer at work.",contradiction,neutral,2,1
a man is bungee jumping from a platform whilst being watched by someone above him. a friend watching his friend bungee jump.,entailment,neutral,0,1
a police officer booking a criminal. a police officer speaking to a victim.,contradiction,neutral,2,1
a man in a small bathing suit talks to another man on the beach in front of a beach patrol stand. a man has a large bathing suit.,contradiction,entailment,2,0
a group of town folk singing and dancing on a residential hillside. there is a group having fun.,entailment,neutral,0,1
a man is riding on a skateboard sitting down. a man sitting on a skateboard.,neutral,entailment,1,0
a crowd of people closely watching a rollerskater ; at the summit of his run. a roller skater passes a crowd gathered to watch something actually interesting.,neutral,entailment,1,0
a group of people race across a grass field. a group of people are walking across a field,contradiction,entailment,2,0
two yellow dogs run together in green grass. two dogs play in the grass.,neutral,entailment,1,0
a man on a dock and boat in the water at sunset. it is almost dark.,entailment,neutral,0,1
the woman jumps to hit the blue and white volleyball before it lands in the sand. the women is in a sand volleyball court.,neutral,entailment,1,0
a woman wearing a red hat and face paint smiles at another woman. a woman wearing clown face paint smiles.,neutral,contradiction,1,2
a man is falling backward in swim gear over a large body of water nearby an urban area. a man is falling backwards into the pool.,neutral,contradiction,1,2
man drives car next to shipping containers. man driving a car into a shipping container.,contradiction,entailment,2,0
a woman in pink is staring while a woman is red is posing nearby kitchen items. two women are posing together.,contradiction,entailment,2,0
people are river rafting. people are rafting in the ocean,neutral,contradiction,1,2
a woman pushing a stroller with a kid in it on a busy street a woman holds her child ' s hand as they cross the street.,contradiction,entailment,2,0
a man throwing his hands up while playing poker. people are playing a card game.,entailment,neutral,0,1
a man in a tan hat and blue shirt walks a bike loaded with produce. he has food.,entailment,contradiction,0,2
two women wearing green shirts are getting off a tour bus. two women in dresses are getting on a bus.,contradiction,neutral,2,1
a guy doing a back flip over a blue mat in a park while others watch. man performs in street,neutral,contradiction,1,2
a woman is shoeing a horse. a woman sizing the horse for sneakers.,contradiction,neutral,2,1
a young boy is yawing as a woman talks to him. the boy is sleepy,entailment,neutral,0,1
a woman in a bikini top that has a tattoo on her back is looking to her left. a woman in a swimsuit top looks to her left for a photo.,neutral,contradiction,1,2
"asian woman holds little girl ' s hand in park - like area, points off - camera. a women gives the birdy to the camera.",contradiction,neutral,2,1
two young women walking slowly. a couple of girls are taking a leisurely walk together.,neutral,entailment,1,0
a woman is looking at a map while sitting down in a laundromat. a woman traveler os plotting her course in an rv on a stop to do her laundry.,neutral,contradiction,1,2
photographers at a site making a documentary. the photographers are holding cameras.,neutral,entailment,1,0
a little girl with smudged face paint appears unhappy on the playground. a little girl is upset about her face paint.,neutral,entailment,1,0
a band of asian students with different instruments wearing a white uniform with a yellow tie around the waist and a red tie across the chest with either a white head wrap or a red hat with a long white tassel. their is big diversity in this band group,contradiction,neutral,2,1
the little boy is in the swimming pool with an adult woman. the woman is in a swimsuit.,neutral,contradiction,1,2
a man playing the guitar in a subway station. a man is playing alongside another person.,neutral,entailment,1,0
