text,true_label,predicted_label,true_label_id,predicted_label_id
"a woman standing by a car in a garage dressed for winter weather in a red knit scarf, black gloves and hat and red handbag. a woman stands by a car in winter",neutral,entailment,1,0
a guy numbered 853 is riding a bucking horse at the rodeo. a guy is riding,neutral,entailment,1,0
a rugby player attempts to break free of an opposing player with both teams closing in. the players are wearing tutus.,contradiction,neutral,2,1
a girl in a gray shirt is sweeping dust out the front door. the girl in gray shirt is at the party,contradiction,neutral,2,1
an old man wearing yellow t - shirt is doing something over the sea. the man is fishing on a sailboat.,neutral,contradiction,1,2
man serving beer from tap as woman stands by. the man drank the beer,contradiction,entailment,2,0
a spots team hugs after a play. the team fist bumped after making the play.,contradiction,neutral,2,1
a man in a white shirt playing a black and white guitar. a man is playing an accoustic guitar.,neutral,entailment,1,0
a man about to throw a toy for a dog to go and fetch. the dog catch the toy,neutral,entailment,1,0
a dog leaping over a chain. a dog hops a fence.,neutral,contradiction,1,2
two children eating food. some children ' s are eating,neutral,entailment,1,0
two boys playing in water. two boys swimming in water,neutral,entailment,1,0
woman talks on her phone while picking up burritos. a woman talking phone.,neutral,entailment,1,0
"two men in beige coats, talking. the two men are outside wearing coats.",neutral,entailment,1,0
a woman is walking at dusk down an urban street. the street is empty,neutral,contradiction,1,2
a girl is performing a wheelie on her bicycle in front of a gray cinder block building. a girl is practicing on a bicycle.,neutral,entailment,1,0
a middle - aged couple smiles from a round outdoor wooden jacuzzi. a couple is smiling while sitting in the jacuzzi.,entailment,neutral,0,1
two humans climb a building while a crowd of onlookers cheer them on the men are racing up the building,neutral,contradiction,1,2
a man in a gray sleeveless shirt and straw hat is on stage singing and playing guitar. a singer is showing how well they can perform.,entailment,neutral,0,1
three women and a man around a table as if having a meeting. some people around a table.,neutral,entailment,1,0
"four men, three of whom are wearing prayer caps, are sitting on a blue and olive green patterned mat. people are praying on a mat.",neutral,entailment,1,0
a boy in a red sweater running on the beach boy having fun at a family reunion,neutral,contradiction,1,2
two men sweeping in a large building with decorated walls and pillars. they sweep near decorated walls.,neutral,entailment,1,0
a roller derby girl skates her way through a crowd. roller derby girls chasing someone,neutral,contradiction,1,2
two teenagers holding up a mike huckabee sign on a grassy medium on a six lane road. two people standing in the grass.,neutral,contradiction,1,2
these are very well groomed animals. the tibetan mastiff has a spectacular coat of fur.,contradiction,neutral,2,1
a guy wearing a black attire is doing ballet in front of the pier where you can see a cruise ship. a man is performing at an outdoors concert.,neutral,contradiction,1,2
"a child in a blue shirt, with a hat, trying to climb a fence. this kid is climbing to get to his tree house.",contradiction,neutral,2,1
a young bow and girl play with a train set and tracks on a living room floor. a young boy and girl play with a train set and tracks on a floor.,entailment,contradiction,0,2
aaron rodgers and another green bay packers teammate are celebrating a touchdown in an end zone. the packers just scored six points,entailment,neutral,0,1
three children on a swing set. three children outside playing,neutral,entailment,1,0
two men speak in a club with green curtains. they are dancing,neutral,contradiction,1,2
two men are crafting items in a workshop with tools. two men are making paper airplanes.,contradiction,neutral,2,1
a little girl with bright pink pants playfully sticks her face in a contraption on a playground. the little girl is playing dodgeball with her friends.,contradiction,neutral,2,1
a person in a blue shirt is serving a meal. people are cooking.,contradiction,entailment,2,0
a man is bungee jumping from a platform whilst being watched by someone above him. a friend watching his friend bungee jump.,entailment,neutral,0,1
a man in a small bathing suit talks to another man on the beach in front of a beach patrol stand. a man has a large bathing suit.,contradiction,entailment,2,0
a group of town folk singing and dancing on a residential hillside. there is a group having fun.,entailment,neutral,0,1
a man is riding on a skateboard sitting down. a man sitting on a skateboard.,neutral,entailment,1,0
a crowd of people closely watching a rollerskater ; at the summit of his run. a roller skater passes a crowd gathered to watch something actually interesting.,neutral,entailment,1,0
two yellow dogs run together in green grass. two dogs play in the grass.,neutral,entailment,1,0
the woman jumps to hit the blue and white volleyball before it lands in the sand. the women is in a sand volleyball court.,neutral,entailment,1,0
a man is falling backward in swim gear over a large body of water nearby an urban area. a man is falling backwards into the pool.,neutral,contradiction,1,2
a woman in pink is staring while a woman is red is posing nearby kitchen items. two women are posing together.,contradiction,entailment,2,0
people are river rafting. people are rafting in the ocean,neutral,contradiction,1,2
a woman pushing a stroller with a kid in it on a busy street a woman holds her child ' s hand as they cross the street.,contradiction,neutral,2,1
a man in a tan hat and blue shirt walks a bike loaded with produce. he has food.,entailment,neutral,0,1
a guy doing a back flip over a blue mat in a park while others watch. man performs in street,neutral,entailment,1,0
"a brown, black and white dog holding a tire in its mouth while standing on sand a group of dogs are playing at the beach.",neutral,contradiction,1,2
a woman in a bikini top that has a tattoo on her back is looking to her left. a woman in a swimsuit top looks to her left for a photo.,neutral,entailment,1,0
"two male workers stand in a bike repair shop, the one in the foreground with a tool in his hands. the male is indoors.",entailment,contradiction,0,2
two men competing in a race. two men drag racing.,neutral,contradiction,1,2
a woman is looking at a map while sitting down in a laundromat. a woman traveler os plotting her course in an rv on a stop to do her laundry.,neutral,contradiction,1,2
men standing on ladders repairing the windows of a building. men are crouched down on the ground.,contradiction,entailment,2,0
photographers at a site making a documentary. the photographers are holding cameras.,neutral,entailment,1,0
a little girl with smudged face paint appears unhappy on the playground. a little girl is upset about her face paint.,neutral,entailment,1,0
a rally vehicle creates a dust cloud while racing. the rally car is going fast.,neutral,entailment,1,0
a toddler in a red jacket and jeans pulling another toddler wearing a green hat and jacket and red paints in a red wagon. a baby in red tugged a fellow toddler wearing green and red in a red flyer wagon.,neutral,entailment,1,0
a band of asian students with different instruments wearing a white uniform with a yellow tie around the waist and a red tie across the chest with either a white head wrap or a red hat with a long white tassel. their is big diversity in this band group,contradiction,neutral,2,1
a man playing the guitar in a subway station. a man is playing alongside another person.,neutral,entailment,1,0
"as many gather on the beach to watch the air show, the planes make a heart in the sky. a group of people watch airplanes making shapes in the sky.",entailment,contradiction,0,2
a cowboy is desperately grasping too the reigns off a horse that is trying to buck him off at a rodeo. a man is attempting to win a ridding content in a rode.,entailment,neutral,0,1
"worlds first, and only middle eastern skateboard enthusiast. a person is a fan of skateboarding",entailment,neutral,0,1
two men transporting a sled ( with a stretcher on it ) through a snowy forest. there is snow on the trees.,entailment,neutral,0,1
five women walk along a beach wearing flip - flops. several women walking on the shore have on shoes.,neutral,contradiction,1,2
"a little girl is laying down on her back on a hardwood floor, looking out of the corner of her eyes at a smaller child who is wearing pajamas, a hairnet and a surgical mask. children are playing a game.",neutral,contradiction,1,2
two men practicing mma submission holds two men practice wrestling.,neutral,contradiction,1,2
a boy watches as another person makes a beautiful double bubble in a park - like setting. a boy is waiting his turn to make bubbles,neutral,entailment,1,0
"a person wearing a red, white, and blue helmet sitting on a motorcycle. a man is riding a bike",neutral,contradiction,1,2
a woman is walking across a street in front of two buses which are green and blue. a woman is in the walkway.,neutral,entailment,1,0
a surfer showered in the spray of a wave. a surfer hit a big wave and got showered.,entailment,neutral,0,1
"a man takes salad out of a bowl while he sits at a table with other plates, a woman, a glass of wine, and a decorative curtain behind him. a man and a woman are eating dinner.",entailment,neutral,0,1
