"text","true_label","predicted_label","true_label_id","predicted_label_id","predicted_prob","true_prob","dist_score","token_count","max_dep_depth","clause_count","struct_score","edge_score"
"a boy is squatting in front of an empty net while others stand around a bouncy castle behind him. no one wants to play ball with tony","entailment","contradiction","0","2","0.8126634359359741","0.005662497133016586","0.5136662721633911","27","27","1","0.7166372721928278","0.7264433486827139"
"two argentina basketball players, one incredibly happy, and the other a little frustrated, with their coach clapping for one of the players and a female manager walking off the court smiling. two basketball player quit the game.","neutral","contradiction","1","2","0.9398423433303833","0.05647663772106171","0.2375524491071701","37","37","1","0.8110202554646998","0.7221331853741181"
"a lady in a black dress in jumping barefooted in a yard with tall grass in front of a wood fence. a grassy yard with a wooden fence and a jumping woman with no shoes on.","entailment","contradiction","0","2","0.5676088929176331","0.3046700060367584","0.6080881357192993","36","36","1","0.806513102809399","0.7207091978745672"
"an old man in a black coat and hat leans against a brick building. a man unable to walk after a night of drinking.","neutral","contradiction","1","2","0.8525439500808716","0.12265728414058685","0.7961110472679138","24","24","1","0.6511499474462438","0.7201668843606541"
"a young man standing in front of a red freight car holding a camera and taking a photo. the man is younger than 90 years old.","entailment","contradiction","0","2","0.8033396005630493","0.1616842895746231","0.626140296459198","26","26","1","0.6974685122833272","0.7143825683729275"
"a woman is bowling barefoot as 2 people in the background head toward the video games. a woman is bowling in a bowling alley with no shoes on.","neutral","contradiction","1","2","0.7052034139633179","0.19788303971290588","0.560680627822876","28","28","1","0.733044733044733","0.7135856136779903"
"a woman is bowling barefoot as 2 people in the background head toward the video games. a woman is bowling with no shoes on.","entailment","contradiction","0","2","0.6321331262588501","0.14971719682216644","0.6866229772567749","24","24","1","0.6511499474462438","0.7102815372819486"
"a sparsely - populated arcade with many brightly lit games and a few people sprinkled around. a nearly empty arcade has many brightly lit games.","entailment","contradiction","0","2","0.9829779267311096","0.006973139476031065","0.32370078563690186","25","25","1","0.675948194466713","0.7057180449351836"
"this is a mother embracing her newborn child in the hospital for the first time. mother and child come face to face for the first time.","entailment","contradiction","0","2","0.597609281539917","0.1324693113565445","0.42695921659469604","26","26","1","0.6974685122833272","0.7042433569966385"
"a woman holding a black umbrella and wearing black boots, a man in a black vest and pants with a black messenger bag, and a man dressed in a black suit walking a black poodle walk in front of a mural depicting a life - sized jumping cow in a field. the woman is up to no good","neutral","contradiction","1","2","0.6410180926322937","0.31015485525131226","0.2559415400028229","58","58","1","0.8326830919423512","0.7023037410707247"
"there are 3 people in this picture, a man who is looking through some object, another looking at something else perhaps not in the picture, and a little girl with her mouth open wide. people are looking at a photograph.","neutral","entailment","1","0","0.9722155332565308","0.018804417923092842","4.30997896194458","40","40","1","0.8200167459426719","0.6947370086460369"
"a group of girls including one in a blue shirt with her back towards the camera are laughing. teenage girls giggling hysterically at nothing.","neutral","contradiction","1","2","0.8984584212303162","0.08168884366750717","0.33017778396606445","24","24","1","0.6511499474462438","0.6937115350879666"
"a slender man, shirtless with tattoos, carries his skateboard while making a displeased face. a skinny guy looked mad as he toted his skateboard","entailment","neutral","0","1","0.5566523671150208","0.19001030921936035","0.4788166880607605","24","24","1","0.6511499474462438","0.6926259442961362"
"a man in a black suit with tie and corsage smiles at a girl who smiles back, both are sitting at a table at a semi formal event such as a wedding or reunion. a man and woman sit in a formal place.","neutral","entailment","1","0","0.9764129519462585","0.017260199412703514","4.259051322937012","43","43","1","0.825218677070529","0.6925923876781016"
"a curly - haired brunette wearing a black and purple reversible jacket and a long scarf is standing outside in the sunlight. a person with a scarf stands in the sunlight.","neutral","entailment","1","0","0.9894567131996155","0.008339492604136467","4.408428192138672","31","31","1","0.7714356973616233","0.6925228080560513"
"a man wearing a jacket and hat rides his bicycle among bright rays of sunshine that is streaming between an array of autumn leafs. a bike rides a man.","contradiction","entailment","2","0","0.9841588735580444","0.0038876174949109554","4.434141635894775","29","29","1","0.7472431546505621","0.6898155699178181"
"one man in a uniform standing inside a school bus with the backdoor open, while another man sits on top of the boss wearing a similar uniform. one man in a uniform is sitting.","contradiction","entailment","2","0","0.9759073853492737","0.01123438123613596","4.28633975982666","34","34","1","0.7963764630431297","0.6892158850918333"
"a man in a striped shirt standing next to partial brick walls while using a garden hose to spray the ground. a man in a shirt standing next to an unfinished building.","neutral","contradiction","1","2","0.4614797830581665","0.2990455627441406","0.1696322113275528","32","32","1","0.78069941032904","0.6873584554796477"
"a man is holding a souvenir that says "" i ' m a photographer not a terrorist "" at what appears to be a rally somewhere in europe. a man is holding a souvenir at a rally.","neutral","entailment","1","0","0.9531909227371216","0.03912299498915672","4.227879047393799","37","37","1","0.8110202554646998","0.6855223941846815"
"woman in a black jacket skinny jeans and tall black boots walking down a sidewalk next to a man in khaki pants with a white shirt walking the opposite direction. a black woman is walking down a sidewalk.","neutral","entailment","1","0","0.9684619307518005","0.02237512543797493","4.171816349029541","38","38","1","0.8144407033295922","0.6842051253645638"
