"text","true_label","predicted_label","true_label_id","predicted_label_id","predicted_prob","true_prob","dist_score","token_count","max_dep_depth","clause_count","struct_score","edge_score"
"one young football player in a white jersey being tackled by another player in a blue jersey from the opposing team whose teammate is coming to assist him. the football player is wearing a blue jersey","contradiction","entailment","2","0","0.783351480960846","0.1615622341632843","0.8280526399612427","36","36","1","0.806757758712001","0.9655566094169917"
"a female baseball player wearing a blue shirt slides into base, while another player in a white shirt wearing a catcher ' s mitt jumps. a female baseball player is wearing a white shirt.","contradiction","entailment","2","0","0.6725783944129944","0.27978092432022095","0.8422079682350159","34","34","1","0.7965681601525262","0.9563185711695886"
"two combatants in protective head and body gear, one in red vest and the other in blue, are engaged in martial arts sparring on a blue mat inside a gymnasium. two combatants in protective head and body gear, one in blue vest and the other in blue, are engaged in martial arts sparring on a blue mat inside a gymnasium.","contradiction","entailment","2","0","0.7858190536499023","0.13889001309871674","0.7735201716423035","60","60","1","0.8328990573032518","0.9552471024230549"
"a middle - aged man with a broken left arm wearing a suit, who is walking by a couple of women on a sidewalk. a man with a broken leg passes two women on the street.","contradiction","entailment","2","0","0.8081480860710144","0.09784603863954544","0.7747486233711243","36","36","1","0.806757758712001","0.954524332746934"
"a young man with a painted face, much like that of a clown, looks downward with a sullen stare. a man with paint on his face looks downward","neutral","entailment","1","0","0.8600891828536987","0.06780203431844711","0.8020209670066833","28","28","1","0.7324647812731703","0.9515746268599935"
"a snowboarder wearing a blue jacket and green pants is speeding down the side of a mountain with snow shooting behind him, with a blue sky and green trees in the background. a snowboarder wearing a blue jacket and green pants gliding down the slopes.","entailment","contradiction","0","2","0.6960499882698059","0.2508104741573334","0.7844411134719849","45","45","1","0.8279207711047558","0.9466251142039264"
"a man with his prosthetic leg removed is dressed in blue jeans and a white t - shirt and sitting in front of a blue door. a man is using his prosthetic leg to lean on.","neutral","contradiction","1","2","0.4639554023742676","0.2656857967376709","0.7935546636581421","36","36","1","0.806757758712001","0.9438805766512733"
"a woman in a white hat and a white t - shirt with a red basket woven purse is talking to a woman in a green shirt and red hat. the woman is wearing a white t - shirt","neutral","entailment","1","0","0.8592572212219238","0.042587898671627045","0.7139102220535278","39","39","1","0.8177099883486919","0.9423767007806658"
"shirtless guy staring off in the distance while three woman are walking past a crowd sitting outside a cafe. three woman look at a shirtless man.","neutral","entailment","1","0","0.606705904006958","0.19654829800128937","0.8237388730049133","26","26","1","0.6977862514564136","0.9388552457613237"
"a older man in beige stands near a younger man in blue in front of a building. a younger man is wearing blue.","neutral","entailment","1","0","0.8127055168151855","0.059191204607486725","0.8218708038330078","23","23","1","0.6224764325812944","0.9369190620167095"
"a man wearing a pilot uniform is bending over towards a suitcase outside of a set of steps leading into a plane. a person sitting on a plane.","contradiction","entailment","2","0","0.7961493134498596","0.1546538770198822","0.7836021780967712","28","28","1","0.7324647812731703","0.9368756614296812"
"a woman wearing sunglasses and a black shirt is running on the beach. a woman in shades jogs along the seashore.","entailment","contradiction","0","2","0.8933107852935791","0.04739316925406456","0.8582028746604919","21","21","1","0.5568477915475055","0.9368356503542065"
"a race participant in a white jersey numbered 442 jogs beside a metal fence, behind which people dressed warmly are standing, while in the foreground is a person in a blue jogging jersey. people gather for a race","entailment","contradiction","0","2","0.638096034526825","0.0608636811375618","0.6944965720176697","38","38","1","0.8145323588602903","0.9335749908025999"
"a woman in purple leggings and a black jack is standing in front of a building in a crowded city smoking. the woman ' s hair is smoking.","contradiction","entailment","2","0","0.7489713430404663","0.08736805617809296","0.7509763836860657","28","28","1","0.7324647812731703","0.9329518391281919"
"a man sits in the sunlight, on a bench, playing a banjo while a canadian goose looks on. the man is sitting on a bench in the moonlight.","contradiction","entailment","2","0","0.9070307612419128","0.043691039085388184","0.7299553751945496","28","28","1","0.7324647812731703","0.9304561284028914"
"young boy running waring blue jacket and blue jeans, flower pots are in the background on a cement walkway. a man is exercising vigorously outside.","neutral","contradiction","1","2","0.7927464246749878","0.09211862087249756","0.7782056331634521","25","25","1","0.6761360025421036","0.9301014457296255"
"a shirtless man is scooping away sand with a pink scoop while a little girl watches. a little girl watches sand.","neutral","entailment","1","0","0.9117791652679443","0.03185022249817848","0.8305665254592896","21","21","1","0.5568477915475055","0.9293666071233273"
"four people walking single file next to a large brick building. four people walk hand - in - hand alongside a large, brick building.","contradiction","entailment","2","0","0.8572555184364319","0.07625048607587814","0.7712697982788086","24","24","1","0.6510539137803198","0.9244072738263813"
"a man and two women in black jackets holding umbrellas sit on a long wooden bench. a man is sitting on a bench with 22 women.","contradiction","neutral","2","1","0.8138359785079956","0.0888475775718689","0.7411001324653625","26","26","1","0.6977862514564136","0.9226435600248822"
"a little boy in blue and white flower shorts holding a yellow and black football while standing in the water. a little boy has blue and yellow flower shorts.","contradiction","entailment","2","0","0.807104229927063","0.11396262794733047","0.7143656611442566","29","29","1","0.7464887194153161","0.9211436760813477"
