text,true_label,predicted_label,true_label_id,predicted_label_id
"a woman standing by a car in a garage dressed for winter weather in a red knit scarf, black gloves and hat and red handbag. a woman stands by a car in winter",neutral,entailment,1,0
a guy numbered 853 is riding a bucking horse at the rodeo. a guy is riding,neutral,entailment,1,0
a rugby player attempts to break free of an opposing player with both teams closing in. the players are wearing tutus.,contradiction,neutral,2,1
a runner is sliding into home while the cathcer covers the plate in a softball game. a runner is thrown out at first.,contradiction,neutral,2,1
a girl in a gray shirt is sweeping dust out the front door. the girl in gray shirt is at the party,contradiction,neutral,2,1
a group of friends posing by a guard rail. 10 humans posing,neutral,contradiction,1,2
a man in a white shirt playing a black and white guitar. a man is playing an accoustic guitar.,neutral,entailment,1,0
a man about to throw a toy for a dog to go and fetch. the dog catch the toy,neutral,entailment,1,0
two children eating food. some children ' s are eating,neutral,entailment,1,0
a few people are waving flags in a crowd. people are waving handkercheifs in a crowd,contradiction,entailment,2,0
a group of children on a tour through a jungle themed section of a museum. the theme of the tour was beachy.,contradiction,neutral,2,1
woman talks on her phone while picking up burritos. a woman talking phone.,neutral,entailment,1,0
"two men in beige coats, talking. the two men are outside wearing coats.",neutral,entailment,1,0
a woman is walking at dusk down an urban street. the street is empty,neutral,contradiction,1,2
a man in a green and white striped shirt carries a large basket on his shoulder. a man is walking around wearing a strange shirt.,entailment,contradiction,0,2
a girl is performing a wheelie on her bicycle in front of a gray cinder block building. a girl is practicing on a bicycle.,neutral,entailment,1,0
people going through sand dunes on the way to the beach. people throw a frisbee on the way to the beach.,contradiction,neutral,2,1
two humans climb a building while a crowd of onlookers cheer them on the men are racing up the building,neutral,contradiction,1,2
a man in a gray sleeveless shirt and straw hat is on stage singing and playing guitar. a singer is showing how well they can perform.,entailment,neutral,0,1
a crowd watching air balloons at night. the balloons glow in the night sky.,entailment,neutral,0,1
a wedding party laughs during the reception. a couple were married recently.,entailment,neutral,0,1
three women and a man around a table as if having a meeting. some people around a table.,neutral,entailment,1,0
"four men, three of whom are wearing prayer caps, are sitting on a blue and olive green patterned mat. people are praying on a mat.",neutral,entailment,1,0
a man in a straw hat is walking in a cornfield. a man in a cowboy hat is walking in a cornfield.,contradiction,neutral,2,1
a crowd walks by a hat shop at an outdoor fair. the people also walk by a food stand.,neutral,contradiction,1,2
two men sweeping in a large building with decorated walls and pillars. they sweep near decorated walls.,neutral,entailment,1,0
a man admires his entertainment cabinet and spread of food. the man is at the supermarket.,contradiction,neutral,2,1
two teenagers holding up a mike huckabee sign on a grassy medium on a six lane road. two people standing in the grass.,neutral,entailment,1,0
a young boy is sitting on the floor putting on his sneaker. a boy is putting on his brand new nikes.,neutral,contradiction,1,2
these are very well groomed animals. the tibetan mastiff has a spectacular coat of fur.,contradiction,neutral,2,1
a guy wearing a black attire is doing ballet in front of the pier where you can see a cruise ship. a man is performing at an outdoors concert.,neutral,contradiction,1,2
five people wear white clothing with fire designs on them while standing next to fire. there is a fight breaking out,contradiction,neutral,2,1
"a child in a blue shirt, with a hat, trying to climb a fence. this kid is climbing to get to his tree house.",contradiction,neutral,2,1
a young bow and girl play with a train set and tracks on a living room floor. a young boy and girl play with a train set and tracks on a floor.,entailment,contradiction,0,2
aaron rodgers and another green bay packers teammate are celebrating a touchdown in an end zone. the packers just scored six points,entailment,neutral,0,1
three children on a swing set. three children outside playing,neutral,entailment,1,0
two men speak in a club with green curtains. they are dancing,neutral,contradiction,1,2
two men are crafting items in a workshop with tools. two men are making paper airplanes.,contradiction,neutral,2,1
a little girl with bright pink pants playfully sticks her face in a contraption on a playground. the little girl is playing dodgeball with her friends.,contradiction,neutral,2,1
a person in a blue shirt is serving a meal. people are cooking.,contradiction,entailment,2,0
"a woman wearing a sparkly blue costume, leaps into the air while swirling a green ribbon in her left hand. the woman is a police officer at work.",contradiction,neutral,2,1
a man is bungee jumping from a platform whilst being watched by someone above him. a friend watching his friend bungee jump.,entailment,neutral,0,1
a man is riding on a skateboard sitting down. a man sitting on a skateboard.,neutral,entailment,1,0
a crowd of people closely watching a rollerskater ; at the summit of his run. a roller skater passes a crowd gathered to watch something actually interesting.,neutral,entailment,1,0
two yellow dogs run together in green grass. two dogs play in the grass.,neutral,entailment,1,0
a man on a dock and boat in the water at sunset. it is almost dark.,entailment,contradiction,0,2
a white dog and a brown dog run along side each other at the beach. the dogs are fighting,contradiction,neutral,2,1
man drives car next to shipping containers. man driving a car into a shipping container.,contradiction,entailment,2,0
a woman in pink is staring while a woman is red is posing nearby kitchen items. two women are posing together.,contradiction,entailment,2,0
people are river rafting. people are rafting in the ocean,neutral,contradiction,1,2
a woman pushing a stroller with a kid in it on a busy street a woman holds her child ' s hand as they cross the street.,contradiction,neutral,2,1
a man in a tan hat and blue shirt walks a bike loaded with produce. he has food.,entailment,neutral,0,1
a lady standing on an exhibition table for a ring tossing game. a woman enjoying standing on a table.,neutral,entailment,1,0
a guy doing a back flip over a blue mat in a park while others watch. man performs in street,neutral,entailment,1,0
a woman is shoeing a horse. a woman sizing the horse for sneakers.,contradiction,neutral,2,1
a young boy is yawing as a woman talks to him. the boy is sleepy,entailment,neutral,0,1
two dogs play with a bottle. the dogs are staying away from each other.,contradiction,neutral,2,1
two young women walking slowly. a couple of girls are taking a leisurely walk together.,neutral,entailment,1,0
photographers at a site making a documentary. the photographers are holding cameras.,neutral,entailment,1,0
four caucasian kids are standing on a pier watching one of their friends jump off into the ocean. there are multiple coolers and blankets all over the rocks.,neutral,contradiction,1,2
a little girl with smudged face paint appears unhappy on the playground. a little girl is upset about her face paint.,neutral,entailment,1,0
a band of asian students with different instruments wearing a white uniform with a yellow tie around the waist and a red tie across the chest with either a white head wrap or a red hat with a long white tassel. their is big diversity in this band group,contradiction,neutral,2,1
a man playing the guitar in a subway station. a man is playing alongside another person.,neutral,entailment,1,0
a cowboy is desperately grasping too the reigns off a horse that is trying to buck him off at a rodeo. a man is attempting to win a ridding content in a rode.,entailment,neutral,0,1
two dogs fight over a bone. two dogs want the same bone.,entailment,neutral,0,1
five women walk along a beach wearing flip - flops. several women walking on the shore have on shoes.,neutral,entailment,1,0
a man performing and standing on a rope. the man is being watched by others.,entailment,neutral,0,1
a group of basketball players in a huddle. a group of basketball players playing indoors.,entailment,neutral,0,1
man in black shirt riding public transportation. a man drives to work.,contradiction,neutral,2,1
people in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race. the runners waited to start the race,entailment,neutral,0,1
two men practicing mma submission holds two men practice wrestling.,neutral,contradiction,1,2
"a person wearing a red, white, and blue helmet sitting on a motorcycle. a man is riding a bike",neutral,entailment,1,0
a woman is walking across a street in front of two buses which are green and blue. a woman is in the walkway.,neutral,entailment,1,0
a surfer showered in the spray of a wave. a surfer hit a big wave and got showered.,entailment,neutral,0,1
a biker pumps up the air in his bike tires while the bike is attached to his car. a biker pumps up his motocycle tires while his bike is still hitched to his car.,entailment,neutral,0,1
a man standing on the street by a weird looking green mask. a woman in the street with her new piece of art,neutral,contradiction,1,2
